NCT Number,Conditions,Conditions_mapped_concept,Conditions_mapped_concept_id,Conditions_mapped_official_concept
NCT07171944,intensive care units (icus),intensive care unit (ICU),C0021708,intensive care unit
NCT04055766,vertigo,vertigo,C0042571,Vertigo
NCT05089071,sessile serrated adenoma,Sessile serrated adenoma,C2732618,Sessile Serrated Adenoma/Polyp
NCT06754137,bone lesion,Bone lesion,C0238792,Bone lesion
NCT06897033,"oral hygiene, oral health",Oral Hygiene,C0029164,Dental Hygiene
NCT06909682,heart failure with reduced ejection fraction (hfref),Heart failure with reduced ejection fraction [HFrEF],C3839346,Heart failure with reduced ejection fraction
NCT06753318,pancreatic neuroendocine neoplasms (pnets),Pancreatic NET,C1337011,Well Differentiated Pancreatic Endocrine Neoplasm
NCT07019688,health communication,Health Communication,C1512347,Health Communication
NCT04883567,acid reflux,Acid Reflux,C0017168,Gastroesophageal reflux disease
NCT05890716,cardiac arrhythmias,Cardiac arrhythmias,C0003811,Cardiac Arrhythmia
NCT05836246,benign breast disease,benign breast disease,C0016034,Breast Fibrocystic Disease
NCT06268392,fetal growth,Fetal Growth,C0743925,Fetal Growth
NCT06018545,hydrocephalus,hydrocephalus,C0020255,Hydrocephalus
NCT07293078,acute respiratory failure (arf),ARF - Acute respiratory failure,C0264490,Acute respiratory failure
NCT06027411,skull fractures,Skull Fractures,C0037304,Skull Fractures
NCT07199322,stroke hemorrhagic,stroke hemorrhagic,C5234922,Hemorrhagic Stroke
NCT07298252,breast cancer - female,"Breast cancer, female",C0235653,Malignant neoplasm of female breast
NCT04489992,lung cancer,Lung Cancer,C0242379,Malignant neoplasm of lung
NCT07235657,coronary artery disease,coronary artery disease,C0010054,Coronary Arteriosclerosis
NCT05655117,macular edema due to type 2 diabetes mellitus,Macular edema due to type 2 diabetes mellitus,C4708779,Macular edema due to type 2 diabetes mellitus
NCT04555135,colon adenoma,Colon adenoma,C4551463,Colon adenoma
NCT04196088,colorectal adenocarcinoma,Colorectal adenocarcinoma,C1319315,Adenocarcinoma of large intestine
NCT07273812,chemotherapy-related toxicities,Toxicity due to chemotherapy,C1302255,Toxicity due to chemotherapy
NCT06346496,anxiety,Anxiety,C0003467,Anxiety
NCT06766383,medical education,Medical education,C0013631,"Education, Medical"
NCT07081737,pain management,Pain Management,C0002766,Pain management (procedure)
NCT06638866,pancreatic intraepithelial neoplasias,Pancreatic intraepithelial neoplasia (morphologic abnormality),C1301034,Pancreatic intraepithelial neoplasia
NCT07078136,leiomyoma,Leiomyoma,C0023267,Fibroid Tumor
NCT07318233,exercise adherence challenges,Nonadherence with exercise regimen,C3874921,Noncompliance with exercise regimen
NCT05787522,esophageal cancer,esophageal cancer,C0014859,Esophageal Neoplasms
NCT07316374,mental health literacy,Mental Health Knowledge,C1829821,Mental health.knowledge
NCT05963945,atelectasis,Atelectasis,C0004144,Atelectasis
NCT06808555,neurodevelopmental disorder (diagnosis),neurodevelopmental disorder (diagnosis),C1535926,Neurodevelopmental Disorders
NCT07125300,adenoma colon polyp,adenoma colon polyp,C0742605,colon (non-specific) polyp adenoma
NCT07307157,renal cancer,Renal Cancer,C0740457,Malignant neoplasm of kidney
NCT06974188,antenatal health,antenatal; care,C1456358,Encounter due to antenatal care
NCT06075836,pulmonary consolidation,Pulmonary consolidation,C0521530,Lung consolidation
NCT05687968,m-health,P-Health,C2718059,Precision Medicine
NCT05223712,kidney diseases,Kidney Diseases,C0022658,Kidney Diseases
NCT05718193,quality control,quality control,C0034378,quality control
NCT05194215,cardiovascular issues,cardiovascular problems,C0850760,cardiovascular problem
NCT07171086,preterm birth,Preterm Birth,C0151526,Premature Birth
NCT07316647,depression,Depression,C0011570,Mental Depression
NCT03622281,colonoscopy,colonoscopy,C0009378,colonoscopy
NCT07045077,clinical reasoning,Clinical Reasoning,C5392149,Clinical Reasoning
NCT05166122,screening,screening,C0199230,Screening for cancer
NCT05272267,triage,Triage,C0040861,Triage
NCT04208360,crackle,Crackle,C0034642,Rales
NCT05883072,diabetes,Diabetes,C0011847,Diabetes
NCT05364268,2019-ncov disease,2019-nCoV Disease,C5203670,COVID-19 Virus Disease
NCT06828900,shared decision making,Shared Decision Making,C3179495,"Decision Making, Shared"
NCT06859216,large language model,Large Language Model,C5940609,Large Language Models
NCT04213183,hepatobiliary disease,hepatobiliary disease,C0267792,Hepatobiliary Disorder
NCT06814327,renal failure,Renal Failure,C0035078,Kidney Failure
NCT06443983,nursing students,Nursing students,C0038496,"Students, Nursing"
NCT06613503,incontinence-associated dermatitis,Incontinence-associated dermatitis,C1304098,Incontinence-associated dermatitis
NCT06858371,stigma of mental illness,Stigma (Social psychology),C3825632,Stigma (Social psychology)
NCT07308522,compliance,Compliance,C0009563,Biomechanical compliance
NCT07032246,clinically isolated syndrome,Clinically isolated syndrome,C2921627,Clinically isolated syndrome
NCT07153783,hepatic metastasis,Hepatic metastasis,C0494165,Metastatic malignant neoplasm to liver
NCT07291960,amd,AMD,C0017921,Glycogen storage disease type II
NCT07133919,inferior alveolar nerve block,Inferior alveolar nerve block,C0394801,Local anesthetic inferior alveolar nerve block
NCT06475703,"heart; surgery, heart, functional disturbance as result","heart; surgery, heart, functional disturbance as result",C1399149,"heart; surgery, heart, functional disturbance as result"
NCT04892316,low vision aids,low vision aids,C0276565,Low vision associated with AIDS
NCT05687318,"intestinal polyposis, adenomatous","Intestinal Polyposis, Adenomatous",C2713442,"Polyposis, Adenomatous Intestinal"
NCT07183111,knowledge assessment,Assessing Knowledge,C1269667,Determination of knowledge level
NCT04551235,acute leukemia,Acute leukemia,C0085669,Acute leukemia
NCT05435872,endoscopy,Endoscopy,C0014245,Endoscopy (procedure)
NCT06682494,patient education,Patient Education,C0030688,Patient education (procedure)
NCT05815017,muscle atrophy or weakness,Muscle atrophy or weakness,C3257821,Muscle weakness or atrophy
NCT03759756,magnifying endoscopy,Magnifying otoscopy (procedure),C0419361,Magnifying otoscopy
NCT04131530,confocal laser endomicroscopy,Confocal Laser Endomicroscopy,C3889414,Confocal Laser Endomicroscopy
NCT03784209,confocal laser endomicroscopy,Confocal Laser Endomicroscopy,C3889414,Confocal Laser Endomicroscopy
NCT05329246,primary health care,Primary Health Care,C0033137,Primary Health Care
NCT03317691,ecg pattern,Electrical pattern,C0444927,Electrical pattern
NCT07184320,partial edentulism in the maxilla or in the mandible,Partial edentulism,C1561619,Partial edentulism
NCT05059093,oligohydramnios,Oligohydramnios,C0079924,Oligohydramnios
NCT06842043,pneumothorax,pneumothorax,C0032326,Pneumothorax
NCT06569017,breastfeeding,Breastfeeding,C0006147,Breast Feeding
NCT06699056,lv dysfunction,LV Dysfunction,C0242698,"Ventricular Dysfunction, Left"
NCT03773458,scoliosis,Scoliosis,C0036439,"Scoliosis, unspecified"
NCT04437615,colonoscopy,colonoscopy,C0009378,colonoscopy
NCT07257796,endoscopy,Endoscopy,C0014245,Endoscopy (procedure)
NCT06285084,electrocardiogram,Electrocardiogram,C0013798,Electrocardiogram
NCT04913181,intensive care unit psychosis,Intensive care unit psychosis,C4524096,Intensive care unit psychosis
NCT06791096,artifical intelligence,Intelligence artificielle,C0003916,Artificial Intelligence
NCT05389839,insulin therapy,Insulin therapy,C5442411,Insulin therapy
NCT05464108,endoscopy,Endoscopy,C0014245,Endoscopy (procedure)
NCT05447221,pathology,Pathology,C0030664,Pathology
NCT04022018,biomarker,biomarker,C0005516,Biological Markers
NCT07280026,healthcare-associated infections (hais),Healthcare-Associated Infections,C0010356,Cross Infection
NCT05675540,retinal vein occlusion,Retinal Vein Occlusion,C0035328,Retinal Vein Occlusion
NCT05942729,cardiomyopathies,Cardiomyopathies,C0878544,Cardiomyopathies
NCT07243093,otitis media effusion,otitis media effusion,C0029883,Otitis Media with Effusion
NCT06950996,colon cancer,colon cancer,C0007102,Malignant tumor of colon
NCT07159438,imaging results,Imaging Result,C1287399,Imaging finding
NCT06792292,colonic neoplasms,Colonic Neoplasms,C0009375,Colonic Neoplasms
NCT05463523,augmented reality,Augmented Reality,C5197824,Augmented Reality
NCT06015178,self-directed learning,Self Directed Learning,C0871321,Self Instruction
NCT06564571,pancreatic cyst,Pancreatic Cyst,C0030283,Pancreatic Cyst
NCT07021781,artifical intelligence,Intelligence artificielle,C0003916,Artificial Intelligence
NCT03787784,colorectal polyps,Colorectal polyps,C0949059,Polyp of large intestine
NCT05178095,gastrointestinal neoplasms,Gastrointestinal Neoplasms,C0017185,Gastrointestinal Neoplasms
NCT05730192,adenoma colon,adenoma colon,C4551463,Colon adenoma
NCT05463289,cystic fibrosis-related diabetes,Cystic fibrosis related diabetes,C2242728,Cystic fibrosis related diabetes
NCT05985057,intensive care unit,intensive care unit,C0021708,intensive care unit
NCT06481436,lower urinary tract symptoms,Lower Urinary Tract Symptoms,C0574785,Lower Urinary Tract Symptoms
NCT07318428,retinal vein occlusion,Retinal Vein Occlusion,C0035328,Retinal Vein Occlusion
NCT05284227,clinical decision support systems,clinical decision support systems,C0525070,"Decision Support Systems, Clinical"
NCT07236970,systemic sclerosis-associated pah,PAH associated with another disease,C5679756,Pulmonary arterial hypertension associated with another disease
NCT06642948,endocrine therapy,Endocrine therapy,C0279025,Hormone Therapy
NCT06374225,disease attributes,Disease Attributes,C0752357,Disease Attributes
NCT07158203,optical biopsy,Optical Biopsy,C1518595,Optical Biopsy
NCT05836064,colonic disease,Colonic Disease,C0009373,Colonic Diseases
NCT04859634,abnormality of the fundus,Abnormality of the fundus,C4025804,Abnormal fundus morphology
NCT06057272,imitates movements,Imitates movements,C0233613,Echopraxia
NCT05740137,colorectal neoplasms,Colorectal Neoplasms,C0009404,Colorectal Neoplasms
NCT06856694,risk communication,risk management,C0035649,Risk Management
NCT05925764,iaslc grading system,International Society of Pediatric Oncology Grading Scale,C5668445,International Society of Pediatric Oncology Grading Scale
NCT06173258,colon polyp,COLON POLYP,C0009376,Colonic Polyps
NCT05629793,distress respiratory syndrome,distress respiratory syndrome,C0035220,"Respiratory Distress Syndrome, Newborn"
NCT05006092,polyps of colon,Colon polyps,C0009376,Colonic Polyps
NCT06749743,intraoral images,Intraoral bite radio image,C5380466,intraoral - bitewing radiographic image - image capture only
NCT06918444,type 1 diabetes (t1d),Type 1 Diabetes,C0011854,"Diabetes Mellitus, Insulin-Dependent"
NCT06699433,hand-foot-and-mouth disease,HAND-FOOT-AND-MOUTH DISEASE,C0018572,"Hand, Foot and Mouth Disease"
NCT07205263,brainstem stroke,Brainstem Stroke,C0521542,Brain Stem Infarctions
NCT04551287,diagnosing cervical cytology grades and cancer,cervical cancer cellular diagnosis,C0279888,"cellular diagnosis, cervical cancer"
NCT07305337,lymphoma,Lymphoma,C0024299,Lymphoma
NCT06714097,cerebral amyloid angiopathy,Cerebral Amyloid Angiopathy,C0085220,Cerebral Amyloid Angiopathy
NCT05476978,pancreatic neuroendocrine tumor,Pancreatic Neuroendocrine Tumor,C1337011,Well Differentiated Pancreatic Endocrine Neoplasm
NCT06902675,neurological diseases or conditions,Neurological diseases or conditions,C2359473,Neurological diseases or conditions
NCT06086951,neurodevelopmental disorders,Neurodevelopmental Disorders,C1535926,Neurodevelopmental Disorders
NCT06469671,diagnosis,Diagnosis,C0011900,Diagnosis
NCT06211218,screening,screening,C0199230,Screening for cancer
NCT06412900,obstruction ureter,OBSTRUCTION URETER,C0041956,Ureteral obstruction
NCT05631015,intestinal metaplasia,Intestinal metaplasia,C0334037,Intestinal metaplasia
NCT06317181,elasticity imaging techniques,Elasticity Imaging Techniques,C1955928,Elasticity Imaging Techniques
NCT05987670,atrial fibrillation,Atrial Fibrillation,C0004238,Atrial Fibrillation
NCT04921488,intestinal polyps,Intestinal Polyps,C0021846,Intestinal Polyps
NCT06163781,microbiology,Microbiology,C0025952,Science of Microbiology
NCT05870332,colo-rectal cancer,colo-rectal cancer,C0009402,Colorectal Carcinoma
NCT06715488,inflammatory arthritis,Inflammatory arthritis,C0003864,Arthritis
NCT07018973,problem solving,Problem Solving,C0033211,Problem Solving (mental process)
NCT04879563,quality of life,Quality of life,C0034380,Quality of life
NCT05754229,colorectal neoplasms,Colorectal Neoplasms,C0009404,Colorectal Neoplasms
NCT06013137,eating disorders,Eating Disorders,C0013473,Eating Disorders
NCT05515679,alzheimer disease,Alzheimer Disease,C0002395,Alzheimer's Disease
NCT05810428,virtual reality,Virtual Reality,C0871582,Virtual Reality
NCT06334796,facial palsy,Facial Palsy,C0015469,Facial paralysis
NCT05118035,morality,Morality,C0026531,Morality
NCT06216405,colon lesion,colon lesion,C0742597,colon (non-specific) lesion
NCT07162753,class ii division 2 malocclusion,Class II division 2 malocclusion,C0024638,Class II division 2 malocclusion
NCT06910956,early cancer detection,Early Cancer Detection,C0199230,Screening for cancer
NCT06662708,prostate cancer aggressiveness,Prostate Cancer Aggressiveness,C1853195,"Prostate Cancer, Hereditary, 7"
NCT05275556,colon lesion,colon lesion,C0742597,colon (non-specific) lesion
NCT05034185,colonic dysplasia,Colonic Dysplasia,C1302363,Dysplasia of colon
NCT04721444,pneumonitis,Pneumonitis,C0032285,Pneumonia
NCT06779422,attention deficit disorder with hyperactivity (adhd),"disorder; attention deficit, with hyperactivity (ADHD)",C1263846,Attention deficit hyperactivity disorder
NCT07010991,student education,student education,C0870465,education students
NCT06258798,periapical diseases,Periapical Diseases,C0031028,Periapical Diseases
NCT07066046,colorectal lesions,Colorectal lesion,C4062636,Colorectal lesion
NCT07317661,cataract and iol surgery,Lens and cataract operations,C0395504,Lens and cataract procedures
NCT06452004,cervical dysplasia,Cervical dysplasia,C0007868,Cervical dysplasia
NCT07220304,cardiovascular inflammation,inflammatory disorder of cardiovascular system,C1290889,Inflammatory disorder of the cardiovascular system
NCT04675138,esophagogastric junction cancer,Gastroesophageal junction cancer,C5400195,Gastroesophageal junction cancer
NCT06741332,"ischemic stroke, acute","Ischemic Stroke, Acute",C5392833,Acute Ischemic Stroke
NCT07273513,hyperlipidemia,Hyperlipidemia,C0020473,Hyperlipidemia
NCT06450938,endodontic overfill,Endodontic overfill,C1719522,Endodontic overfill
NCT06183970,spasticity as sequela of stroke,Spasticity as sequela of stroke,C3662070,Spasticity as sequela of stroke
NCT06685367,renal replacement therapy,Renal Replacement Therapy,C0206074,Renal Replacement Therapy
NCT04643626,"weight change, body","Weight Change, Body",C0005911,Body Weight Changes
NCT07246018,cephalometric analysis,cephalometric analysis,C0407698,"Cephalogram, orthodontic"
NCT04723758,colorectal adenoma,Colorectal adenoma,C1302401,Adenoma of large intestine
NCT06589154,prostate cancer,Prostate Cancer,C0376358,Malignant neoplasm of prostate
NCT04255615,art,Art,C0003826,Arts
NCT04894708,suspected colon polyps,other colon polyps,C5932146,other colon polyps
NCT05167058,bradycardia,Bradycardia,C0428977,Bradycardia
NCT05414448,colorectal neoplasms,Colorectal Neoplasms,C0009404,Colorectal Neoplasms
NCT07318922,traumatic ulcer of oral mucosa,Traumatic ulcer of oral mucosa,C0267020,Traumatic ulcer of oral mucosa
NCT07329699,acute coronary syndrome,Acute Coronary Syndrome,C0948089,Acute Coronary Syndrome
NCT06298474,vascular dementia,Vascular dementia,C0011269,"Dementia, Vascular"
NCT05653063,cancer cervix,cancer of cervix,C0007847,Malignant tumor of cervix
NCT05797207,colonoscopy,colonoscopy,C0009378,colonoscopy
NCT04313946,influenza with pneumonia,Influenza with pneumonia,C0155870,Pneumonia and influenza
NCT06325514,fordyce granule,fordyce granule,C0221218,Fordyce's disease
NCT05795725,colonoscopy,colonoscopy,C0009378,colonoscopy
NCT03775811,computer-aided diagnosis,Computer-Aided Diagnosis,C0011905,Computer Assisted Diagnosis
NCT05080088,colorectal polyp,colorectal polyp,C0949059,Polyp of large intestine
NCT06615609,diabetes mellitus,diabetes mellitus,C0011849,Diabetes Mellitus
NCT04699864,diabetic maculopathy,Diabetic maculopathy,C0339471,Disorder of macula due to diabetes mellitus
NCT04620668,depression,Depression,C0011570,Mental Depression
NCT07338643,constipation,Constipation,C0009806,Constipation
NCT04332055,"arthroplasty, replacement, hip","Arthroplasty, Replacement, Hip",C0392806,Prosthetic arthroplasty of hip (procedure)
NCT05956886,metabolic syndrome,Metabolic Syndrome,C0524620,Metabolic Syndrome X
NCT06213896,retinal vein occlusion,Retinal Vein Occlusion,C0035328,Retinal Vein Occlusion
NCT01338116,nosocomial infections,Nosocomial Infections,C0205721,"Infections, Hospital"
NCT06574438,digital health,Digital Health,C5828392,Digital Health
NCT04958577,upper respiratory system conditions,Upper respiratory disorder,C4324472,Upper respiratory disorder
NCT05681949,"cholangiocarcinoma, perihilar","Cholangiocarcinoma, Perihilar",C4045991,Perihilar Cholangiocarcinoma
NCT05533190,depressive symptoms,Depressive Symptoms,C0086132,Depressive Symptoms
NCT04869618,gastric cancer,Gastric Cancer,C0024623,Malignant neoplasm of stomach
NCT06874647,large language model,Large Language Model,C5940609,Large Language Models
NCT05953948,quality of life,Quality of life,C0034380,Quality of life
NCT05126173,squamous cell carcinoma,Squamous cell carcinoma,C0007137,Squamous cell carcinoma
NCT05077722,oppositional defiant disorder,Oppositional Defiant Disorder,C0029121,Oppositional Defiant Disorder
NCT05896709,ivf,IVF,C0015915,Fertilization in Vitro
NCT07185984,sperm selection,sperm isolation,C2018136,sperm isolation
NCT05594576,intestinal polyps,Intestinal Polyps,C0021846,Intestinal Polyps
NCT03621462,squamous cell carcinoma of the skin,squamous cell carcinoma of the skin,C0553723,Squamous cell carcinoma of skin
NCT04325815,colorectal polyp,colorectal polyp,C0949059,Polyp of large intestine
NCT05611151,polyp of colon,Polyp of colon,C0009376,Colonic Polyps
NCT07296575,thyroid cancer,Thyroid cancer,C0007115,Malignant neoplasm of thyroid
NCT05459545,heart murmurs,Heart Murmurs,C0018808,Heart murmur
NCT05176899,heart murmurs,Heart Murmurs,C0018808,Heart murmur
NCT05064124,colorectal polyp,colorectal polyp,C0949059,Polyp of large intestine
NCT06862414,oral potentially malignant disorders,Oral Potentially Malignant Disorders,C1335125,Oral Cavity and Lip Precancerous Condition
NCT06612281,colorectal cancer (crc) screening,colorectal cancer screening,C0281185,Screening for Colorectal Cancer
NCT05734820,colorectal adenoma,Colorectal adenoma,C1302401,Adenoma of large intestine
NCT04441580,polyps of colon,Colon polyps,C0009376,Colonic Polyps
NCT06321614,bowel disease,bowel disease,C0021831,Intestinal Diseases
NCT05646186,irritable bowel syndrome with constipation,irritable bowel syndrome with constipation,C4268639,irritable bowel syndrome with constipation
NCT06686251,pleural effusion,Pleural Effusion,C0032227,Pleural effusion (disorder)
NCT06647264,hepatectomy,Hepatectomy,C0019144,Hepatectomy
NCT06341634,adolescent behavior,Adolescent Behavior,C0001580,Adolescent Behavior
NCT05509049,well visit,[V]Well-pers. exam/test/screen,C0481895,Encounter due to well person screening
NCT05471882,neuromuscular blockade,Neuromuscular blockade,C0234119,Neuromuscular inhibition
NCT06582407,"pain, postoperative","Pain, Postoperative",C0030201,Postoperative Pain
NCT06534164,vestibular diseases,Vestibular Diseases,C0042594,Vestibular Diseases
NCT05893420,respiratory failure,Respiratory Failure,C1145670,Respiratory Failure
NCT05018715,angina,angina,C0002962,Angina Pectoris
NCT03662802,cardiac arrythmias,Arrythmias,C0003811,Cardiac Arrhythmia
NCT07163754,sperm parameters in fertile and infertile men,Spermatozoa:Morphology:To identify measures at a point in time:Semen:Nominal,C0485056,Spermatozoa:Morph:Pt:Semen:Nom
NCT00564122,structural heart disease,heart disease structural disorder,C1290384,Structural disorder of heart
NCT06238180,infections,Infections,C0851162,Infection of musculoskeletal system
NCT05056376,"glucose, high blood",High blood glucose,C0020456,Hyperglycemia
NCT05214131,urinary incontinence,Urinary Incontinence,C0042024,Urinary Incontinence
NCT06053515,infant development,Infant Development,C0205714,Infant Development
NCT04982627,criminal behavior,Criminal behavior,C0178573,Criminal behavior
NCT05752045,age-related macular degeneration,age-related macular degeneration,C0242383,Age related macular degeneration
NCT07133516,echocardiography,Echocardiography,C0013516,Echocardiography
NCT07087418,imaging,Imaging,C0011923,Diagnostic Imaging
NCT06624605,interdisciplinary communication,Interdisciplinary Communication,C0079631,Interdisciplinary Communication
NCT06754826,feedback,Feedback,C0015744,Feedback - system communication
NCT06817564,digital health,Digital Health,C5828392,Digital Health
NCT06785155,dry eye,Dry eye,C0013238,Dry Eye Syndromes
NCT07124624,cluster randomized trial,Randomised clinical trial,C0206034,"Clinical Trials, Randomized"
NCT07277829,large language model,Large Language Model,C5940609,Large Language Models
NCT06645405,ct angiography,CT angiography,C1536105,Computed Tomography Angiography
NCT06983236,randomized controlled trial,randomized controlled trial,C0282440,Randomized Controlled Trials as Topic
NCT07127939,traditional chinese medicine constitution,Traditional Chinese Medicine,C0025124,Traditional Chinese Medicine
NCT05281939,image,image,C1696103,image - dosage form
NCT07277686,screening,screening,C0199230,Screening for cancer
NCT06796166,patient education as topic,Patient Education as Topic,C0030688,Patient education (procedure)
NCT07253571,nursing skills,nursing skills,C0920720,nursing skill
NCT07179861,pediatrics,Pediatrics,C0030755,Pediatrics
NCT07183202,eras,ERAS,C1415714,ERAS gene
NCT04719117,"cholangiopancreatography, endoscopic retrograde","Cholangiopancreatography, Endoscopic Retrograde",C0008310,Endoscopic Retrograde Cholangiopancreatography
NCT07314853,cancer surgery,cancer surgery,C0920424,cancer surgery
NCT06887699,cost-effectiveness analysis,Cost-Effectiveness Analysis,C1511536,Cost-Effectiveness Analysis
NCT06130397,fracture multiple,Fracture multiple,C0016655,"Fractures, Multiple"
NCT07202286,accuracy,Accuracy,C0443131,Accurate (qualifier value)
NCT06726733,clinical decision-making,Clinical Decision-Making,C4042877,Clinical Decision-Making
NCT07290608,clinical decision support systems,clinical decision support systems,C0525070,"Decision Support Systems, Clinical"
NCT04466059,lymphoma,Lymphoma,C0024299,Lymphoma
NCT06978283,pressure injury prevention,Pressure Injury Prevention,C0150315,Pressure Ulcer Prevention
NCT07096232,artifical intelligence,Intelligence artificielle,C0003916,Artificial Intelligence
NCT07223736,mental health,mental health,C0025353,mental health
NCT05389774,lung cancer,Lung Cancer,C0242379,Malignant neoplasm of lung
NCT06968533,early diagnosis,Early Diagnosis,C0596473,Early Diagnosis
NCT06791109,cluster randomized trial,Randomised clinical trial,C0206034,"Clinical Trials, Randomized"
NCT06384846,stemi - st elevation myocardial infarction,STEMI - ST elevation myocardial infarction,C1303258,Acute ST segment elevation myocardial infarction (disorder)
NCT07312019,clinical decision support,Clinical Decision Support,C4042765,Clinical Decision Support
NCT06511505,valvular disease,Valvular disease,C3258293,Valvular disease
NCT07113938,physician burnout,Burnout professionale,C0006433,"Burnout, Professional"
NCT07307547,colorectal cancer,Colorectal Cancer,C0009402,Colorectal Carcinoma
NCT05320185,ct angiography,CT angiography,C1536105,Computed Tomography Angiography
NCT05594485,pleural effusion,Pleural Effusion,C0032227,Pleural effusion (disorder)
NCT05115097,breathing sound,breathing sound,C0035234,Respiratory Sounds
NCT07010328,pisa syndrome,Pisa syndrome,C0920233,Pisa syndrome
NCT06330103,echocardiography,Echocardiography,C0013516,Echocardiography
NCT07302906,ambulatory care,Ambulatory Care,C0002423,Ambulatory Care
NCT07084779,"neoplasms, prostate","Neoplasms, Prostate",C0033578,Prostatic Neoplasms
NCT07300657,peri-implant inflammation,peri-implantitis,C2936258,Peri-Implantitis
NCT05374122,bile duct lesions,lesion; bile duct,C1397969,lesion; bile duct
NCT06649500,falls prevention,falls prevention,C0150223,Fall prevention
NCT06854315,artifical intelligence,Intelligence artificielle,C0003916,Artificial Intelligence
NCT04055766,meningitis/encephalitis,Meningitis/encephalitis,C0497299,meningitis/encephalitis
NCT06754137,dislocation,Dislocation,C0012691,Dislocations
NCT06909682,heart failure with preserved ejection fraction (hfpef),Heart failure with preserved ejection fraction [HFpEF],C2960127,Heart failure with normal ejection fraction
NCT06753318,autoimmune pancreatitis,Autoimmune Pancreatitis,C2609129,Autoimmune Pancreatitis
NCT07019688,information dissemination,Information Dissemination,C0021417,Information Dissemination
NCT04883567,dysphagia,Dysphagia,C0011168,Deglutition Disorders
NCT05890716,sudden cardiac death,Sudden Cardiac Death,C0085298,Sudden Cardiac Death
NCT05836246,malignant breast neoplasm,Malignant breast neoplasm,C0006142,Malignant neoplasm of breast
NCT06018545,cerebral infarction,Cerebral Infarction,C0007785,Cerebral Infarction
NCT07293078,multi-organ failure,Multi-organ failure,C0026766,Multiple Organ Failure
NCT06027411,"hemorrhage, intracranial","Hemorrhage, Intracranial",C0151699,Intracranial Hemorrhage
NCT07199322,upper limb rehabilitation,Upper limb training,C0556501,Upper limb training
NCT07298252,breast cancer screening,Breast cancer screening,C0281182,Screening for malignant neoplasm of breast
NCT04489992,x-rays; lesion,x-rays; lesion,C1402304,x-rays; lesion
NCT04196088,colorectal ssa,Colorectal SSA,C2826783,Colorectal Serrated Lesions and Polyps
NCT07273812,medication adherence,Medication Adherence,C2364172,Adherence To Medication Regime
NCT06638866,intraductal papillary mucinous neoplasm,Intraductal papillary mucinous neoplasm,C3160815,Intraductal papillary mucinous neoplasm
NCT07078136,schwannoma,Schwannoma,C0027809,Neurilemmoma
NCT07318233,motivation for physical activity,RNAx encouragement of physical activity,C2922556,RNAx encourage physical activity
NCT05963945,subcutaneous emphysema,Subcutaneous Emphysema,C0038536,Subcutaneous Emphysema
NCT06808555,dyslexia,Dyslexia,C0476254,Dyslexia
NCT06075836,pneumothorax,pneumothorax,C0032326,Pneumothorax
NCT05194215,genitourinary issues,Genitourinary,C0042066,Genitourinary system
NCT07171086,fetal growth restriction,Fetal Growth Restriction,C0015934,Fetal Growth Retardation
NCT07045077,neurologic rehabilitation,Neurologic Rehabilitation,C0204096,Neurological Rehabilitation
NCT06118840,double bind interaction,Double Bind Interaction,C0013068,Double Bind Interaction
NCT05272267,readmission,Readmission,C4489276,Readmission
NCT04208360,lung sound,lung sound,C0035234,Respiratory Sounds
NCT05364268,covid-19 pandemic,COVID-19 Pandemic,C5392141,COVID-19 Pandemic
NCT06613503,cost-effectiveness,cost-effectiveness,C0010181,Cost Effectiveness
NCT07153783,hepatic hemangioma,Hepatic hemangioma,C0238246,Hemangioma of liver
NCT07291960,cup-to-disc ratio bigger than 0.5,Increased cup-to-disc ratio,C3805911,Increased cup-to-disc ratio
NCT05220345,adenoma,Adenoma,C0001430,Adenoma
NCT07133919,dental anxiety,Dental Anxiety,C0085380,Dental Anxiety
NCT07183111,recall ability of orthodontic instructions with both modalities,Rem fixd orthodontic app comp,C0399169,Removal of fixed orthodontic appliance component
NCT06682494,prevention,Prevention,C0199176,Prophylactic treatment
NCT05815017,muscle loss,muscle; loss,C0026846,Muscular Atrophy
NCT05329246,electrocardiogram,Electrocardiogram,C0013798,Electrocardiogram
NCT05059093,polyhydramnios,Polyhydramnios,C0020224,Polyhydramnios
NCT06569017,"breast feeding, exclusive","Breast Feeding, Exclusive",C0242205,"Breast Feeding, Exclusive"
NCT06699056,atrial enlargement,ATRIAL ENLARGEMENT,C0741276,ATRIAL ENLARGEMENT
NCT06791096,randomised controlled trial,randomized controlled trial,C0282440,Randomized Controlled Trials as Topic
NCT05447221,gastric cancer,Gastric Cancer,C0024623,Malignant neoplasm of stomach
NCT04903444,endoscopic retrograde cholangiopancreatography,Endoscopic Retrograde Cholangiopancreatography,C0008310,Endoscopic Retrograde Cholangiopancreatography
NCT07280026,health education,Health education,C0018701,Health education
NCT05942729,left ventricular hypertrophy,Left Ventricular Hypertrophy,C0149721,Left Ventricular Hypertrophy
NCT06950996,rectum cancer,rectum cancer,C0007113,Rectal Carcinoma
NCT06792292,colonic polyp,COLONIC POLYP,C0009376,Colonic Polyps
NCT05463523,medical imaging,Medical Imaging,C0025086,Medical Imaging
NCT07021781,application,Application,C0185125,Application procedure
NCT04440865,colonic adenoma,Colonic Adenoma,C4551463,Colon adenoma
