NCT Number,Conditions,Conditions_mapped_concept,Conditions_mapped_concept_id,Conditions_mapped_official_concept
NCT07082049,prostate cancer,Prostate Cancer,C0376358,Malignant neoplasm of prostate
NCT06813066,mental disorder,Mental Disorder,C0004936,Mental disorders
NCT07172113,depression scale score,Depression score,C3483981,Depression score
NCT06511505,atrial fibrillation,Atrial Fibrillation,C0004238,Atrial Fibrillation
NCT06517082,healthcare provider well-being,Patient feels well,C0554992,Patient feels well
NCT07151001,diabetes,Diabetes,C0011847,Diabetes
NCT06299384,suicide,Suicide,C0038661,Suicide
NCT05619614,colonic neoplasms,Colonic Neoplasms,C0009375,Colonic Neoplasms
NCT07113938,use of ambient ai scribes,scrotaal abcesdrainage,C0403200,Drainage of scrotal abscess
NCT06195033,hip fractures,Hip Fractures,C0019557,Hip Fractures
NCT07315152,malocclusion,Malocclusion,C0024636,Malocclusion
NCT07231718,ai-supported cyberbullying awareness program,current awareness service,C0683834,current awareness service
NCT06755060,ocular diseases,Ocular disease,C0015397,Disorder of eye
NCT06717984,breast cancer,Breast Cancer,C0006142,Malignant neoplasm of breast
NCT07307547,colorectal neoplasms,Colorectal Neoplasms,C0009404,Colorectal Neoplasms
NCT06746324,lung nodules,lung nodules,C0034079,Nodule of lung
NCT06017089,type 1 diabetes,Type 1 Diabetes,C0011854,"Diabetes Mellitus, Insulin-Dependent"
NCT05450809,healthy,Healthy,C3898900,Healthy
NCT07093918,cardiotoxicity,Cardiotoxicity,C0876994,Cardiotoxicity
NCT06279546,gastrointestinal diseases,Gastrointestinal Diseases,C0017178,Gastrointestinal Diseases
NCT07040501,prostate cancer,Prostate Cancer,C0376358,Malignant neoplasm of prostate
NCT07206602,heart failure,Heart failure,C0018801,Heart failure
NCT06428344,dental caries,Dental caries,C0011334,Dental caries
NCT06755190,ocular diseases,Ocular disease,C0015397,Disorder of eye
NCT07186803,laparoscopic cholecystectomy,LAPAROSCOPIC CHOLECYSTECTOMY,C0162522,"Cholecystectomy, Laparoscopic"
NCT05320185,coronary artery disease,coronary artery disease,C0010054,Coronary Arteriosclerosis
NCT07037940,large language models,Large Language Models,C5940609,Large Language Models
NCT07318571,the study focuses on skin assessment and pi staging in icu patients,Skin and pressure injury/injury treatments during assessment period,C4531571,Skin and pressure injury &or injury treatments during assessment period
NCT06597968,lung nodule,LUNG NODULE,C0034079,Nodule of lung
NCT03840590,colorectal neoplasms,Colorectal Neoplasms,C0009404,Colorectal Neoplasms
NCT05115097,covid-19,COVID-19,C5203670,COVID-19 Virus Disease
NCT04829279,emergency patient transported by ambulance,Transportation by emergency ambulance,C4275095,Transportation by emergency ambulance
NCT06871566,occupational therapy,Occupational Therapy,C1318464,Occupational therapy (procedure)
NCT05349110,colorectal neoplasms,Colorectal Neoplasms,C0009404,Colorectal Neoplasms
NCT04832594,breast cancer,Breast Cancer,C0006142,Malignant neoplasm of breast
NCT05495438,sepsis,Sepsis,C0036690,Septicemia
NCT05791227,heart failure,Heart failure,C0018801,Heart failure
NCT07291362,interdisciplinary research,Interdisciplinary Research,C4316843,Interdisciplinary Research
NCT06009718,heart failure,Heart failure,C0018801,Heart failure
NCT06777056,lung contusion,lung contusion,C0347625,Contusion of lung
NCT07261059,colorectal neoplasms,Colorectal Neoplasms,C0009404,Colorectal Neoplasms
NCT07066514,knee osteoarthritis,knee osteoarthritis,C0409959,"Osteoarthritis, Knee"
NCT07010328,parkinson disease,Parkinson Disease,C0030567,Parkinson Disease
NCT03969056,hypertension,Hypertension,C0020538,Hypertensive disease
NCT06795477,machine intelligence in the pharmacy,Machine Intelligence,C0003916,Artificial Intelligence
NCT06776354,medical education,Medical education,C0013631,"Education, Medical"
NCT07263711,glioma,Glioma,C0017638,Glioma
NCT05287477,sepsis,Sepsis,C0036690,Septicemia
NCT06967090,dental implant,dental implant,C0011370,Dental Prosthesis Implantation
NCT06330103,heart failure,Heart failure,C0018801,Heart failure
NCT06984029,dental caries,Dental caries,C0011334,Dental caries
NCT07036926,mitral valve repair surgery,Mitral Valve Repair,C0396849,Mitral valvuloplasty
NCT05782283,cirrhosis,Cirrhosis,C0023890,Liver Cirrhosis
NCT06228014,skin diseases,Skin Diseases,C0037274,Dermatologic disorders
NCT07311655,anxiety disorders,Anxiety Disorders,C0003469,Anxiety Disorders
NCT06595134,acute cardiovascular disease,Acute cardiovascular disease,C1290379,Acute disease of cardiovascular system
NCT07288229,acute myocardial infarction,Acute myocardial infarction,C0155626,Acute myocardial infarction
NCT06743295,hearing loss,hearing loss,C0011053,Deafness
NCT05081011,medication adherence,Medication Adherence,C2364172,Adherence To Medication Regime
NCT07311668,depressive disorder,Depressive disorder,C0011581,Depressive disorder
NCT07105397,major depressive disorder (mdd),Major depressive disorder (disorder),C1269683,Major Depressive Disorder
NCT03870581,anticoagulant-induced bleeding,Anticoagulant-induced bleeding,C0457504,Anticoagulant-induced bleeding
NCT05531058,vaccine hesitancy,Vaccine Hesitancy,C5544400,Vaccination Hesitancy
NCT06525181,radiotherapy side effect,radiotherapy side effect,C0392615,Adverse effect of radiation therapy
NCT07302906,"burnout, professionals","Burnout, Professional",C0006433,"Burnout, Professional"
NCT04227795,colon adenoma,Colon adenoma,C4551463,Colon adenoma
NCT06301009,cardiovascular diseases,Cardiovascular Diseases,C0007222,Cardiovascular Diseases
NCT05810610,coronary stenosis,Coronary Stenosis,C0242231,Coronary Stenosis
NCT06645964,diabetic retinopathy,Diabetic Retinopathy,C0011884,Diabetic Retinopathy
NCT06778486,osteoarthritis,Osteoarthritis,C0029408,Degenerative polyarthritis
NCT06080711,skin cancer,skin cancer,C0007114,Malignant neoplasm of skin
NCT06970158,congenital disorder,Congenital Disorder,C0242354,Congenital Disorders
NCT06799962,eating disorders,Eating Disorders,C0013473,Eating Disorders
NCT06462352,small intestine disease,small intestine disease,C0341268,Disorder of small intestine
NCT06232187,fetal weight,Fetal Weight,C0751992,Fetal Weight
NCT07084779,prostate cancer,Prostate Cancer,C0376358,Malignant neoplasm of prostate
NCT06939803,venothromboembolism,Venoese Thromboembolie,C1861172,Venous Thromboembolism
NCT06644014,arterial stiffness,Arterial Stiffness,C0599949,Arterial Stiffness
NCT06178900,coronary artery disease,coronary artery disease,C0010054,Coronary Arteriosclerosis
NCT07108452,healthy,Healthy,C3898900,Healthy
NCT06644248,uterine cervical neoplasms,Uterine Cervical Neoplasms,C0007873,Uterine Cervical Neoplasm
NCT06937138,femoral neck fractures,Femoral Neck Fractures,C0015806,Femoral Neck Fractures
